ARR2	sce:YPR200C
REH1	sce:YLR387C
NA	sce:YJL068C
CIS3	sce:YJL158C
NA	sce:YCR023C
NA	sce:YMR279C
NA	sce:YDL057W
OCH1	sce:YGL038C
NAB6	sce:YML117W
ENT4	sce:YLL038C
NSE4	sce:YDL105W
ATG12	sce:YBR217W
THG1	sce:YGR024C
ARO1	sce:YDR127W
CIN5	sce:YOR028C
NEJ1	sce:YLR265C
RPS21A	sce:YKR057W
MVD1	sce:YNR043W
BCH1	sce:YMR237W
URH1	sce:YDR400W
PMA2	sce:YPL036W
RPL11B	sce:YGR085C
PRE4	sce:YFR050C
ADY2	sce:YCR010C
TRR1	sce:YDR353W
CAT5	sce:YOR125C
NA	sce:YLR307C-A
TMA16	sce:YOR252W
NA	sce:YGL108C
SIP4	sce:YJL089W
NA	sce:YMR265C
RPB7	sce:YDR404C
TCD2	sce:YKL027W
MUD2	sce:YKL074C
GUP2	sce:YPL189W
CYC8	sce:YBR112C
SGD1	sce:YLR336C
POA1	sce:YBR022W
MRPS5	sce:YBR251W
RPL24B	sce:YGR148C
CTP1	sce:YBR291C
BUD14	sce:YAR014C
ODC1	sce:YPL134C
PAC10	sce:YGR078C
HXT17	sce:YNR072W
DBF2	sce:YGR092W
POM34	sce:YLR018C
GCV3	sce:YAL044C
MOG1	sce:YJR074W
CWH43	sce:YCR017C
DOC1	sce:YGL240W
UIP5	sce:YKR044W
NA	sce:YFR045W
POL4	sce:YCR014C
DPB2	sce:YPR175W
IRC4	sce:YDR540C
NA	sce:YBR296C-A
RPS0A	sce:YGR214W
NA	sce:YBR053C
IRC15	sce:YPL017C
NCB2	sce:YDR397C
TMA22	sce:YJR014W
BCD1	sce:YHR040W
NA	sce:YJR079W
NA	sce:YJL043W
YCK3	sce:YER123W
MTF2	sce:YDL044C
BUD31	sce:YCR063W
SUA5	sce:YGL169W
HXT3	sce:YDR345C
SLD5	sce:YDR489W
SED5	sce:YLR026C
YPP1	sce:YGR198W
PKP1	sce:YIL042C
GRX8	sce:YLR364W
SLM3	sce:YDL033C
PHO84	sce:YML123C
TRX3	sce:YCR083W
DIA4	sce:YHR011W
PTC5	sce:YOR090C
NUP42	sce:YDR192C
THI21	sce:YPL258C
RPB4	sce:YJL140W
SYF1	sce:YDR416W
ERV46	sce:YAL042W
TDA10	sce:YGR205W
CBC2	sce:YPL178W
TMA20	sce:YER007C-A
IRC19	sce:YLL033W
CNB1	sce:YKL190W
NA	sce:YBR197C
IOC4	sce:YMR044W
SKI7	sce:YOR076C
YEH2	sce:YLR020C
FCY1	sce:YPR062W
CIN8	sce:YEL061C
LCB5	sce:YLR260W
NPT1	sce:YOR209C
VPS33	sce:YLR396C
JNM1	sce:YMR294W
SEC10	sce:YLR166C
AGE2	sce:YIL044C
YSP3	sce:YOR003W
BNI4	sce:YNL233W
UGP1	sce:YKL035W
GEP7	sce:YGL057C
PRS5	sce:YOL061W
MDM35	sce:YKL053C-A
DSE1	sce:YER124C
PRS4	sce:YBL068W
PBI1	sce:YPL272C
BMH2	sce:YDR099W
ADH6	sce:YMR318C
PEX14	sce:YGL153W
TVP38	sce:YKR088C
NA	sce:YGR168C
NA	sce:YDL199C
PRI2	sce:YKL045W
EST3	sce:YIL009C-A
AGX1	sce:YFL030W
RTR1	sce:YER139C
PUT3	sce:YKL015W
SBH2	sce:YER019C-A
RPO26	sce:YPR187W
GID7	sce:YCL039W
SRO9	sce:YCL037C
SLS1	sce:YLR139C
HPA2	sce:YPR193C
HSH49	sce:YOR319W
SKG6	sce:YHR149C
YIF1	sce:YNL263C
THI7	sce:YLR237W
FMP27	sce:YLR454W
NA	sce:YKL162C
TVP15	sce:YDR100W
TIM11	sce:YDR322C-A
PAN2	sce:YGL094C
NA	sce:YPL245W
BRL1	sce:YHR036W
NA	sce:YPR174C
ZAP1	sce:YJL056C
ORC1	sce:YML065W
AEP2	sce:YMR282C
PSK1	sce:YAL017W
WRS1	sce:YOL097C
OMA1	sce:YKR087C
RPA190	sce:YOR341W
TAX4	sce:YJL083W
DID4	sce:YKL002W
EGO2	sce:YCR075W-A
CDC40	sce:YDR364C
MIF2	sce:YKL089W
ACF4	sce:YJR083C
CNA1	sce:YLR433C
NA	sce:YGR266W
MED4	sce:YOR174W
ARP1	sce:YHR129C
IRC10	sce:YOL015W
DPH2	sce:YKL191W
NA	sce:YHR214C-D
SIR1	sce:YKR101W
TSC11	sce:YER093C
TFC3	sce:YAL001C
TPP1	sce:YMR156C
NA	sce:YDR090C
QCR6	sce:YFR033C
IMA1	sce:YGR287C
UTP10	sce:YJL109C
HRR25	sce:YPL204W
RGP1	sce:YDR137W
RAD53	sce:YPL153C
PEA2	sce:YER149C
AIM6	sce:YDL237W
SMD2	sce:YLR275W
CKS1	sce:YBR135W
NOP14	sce:YDL148C
ELG1	sce:YOR144C
NA	sce:YDR381C-A
RPL13B	sce:YMR142C
MCP1	sce:YOR228C
CIN10	sce:YDR387C
NA	sce:YLR030W
FAT3	sce:YKL187C
PTM1	sce:YKL039W
VPS13	sce:YLL040C
ERG6	sce:YML008C
PUS5	sce:YLR165C
NA	sce:YBR138C
BEM3	sce:YPL115C
