Gene Symbol	hsa:ENTREZ_GENE_ID
CABP4	hsa:57010
TNFRSF13C	hsa:115650
CAMK2N2	hsa:94032
ANKRD30BP2	hsa:149992
KCNG3	hsa:170850
LINC01312	hsa:154089
FOXP2	hsa:93986
B4GALNT2	hsa:124872
FMR1NB	hsa:158521
GCSAML	hsa:148823
SIGLEC11	hsa:114132
IL23R	hsa:149233
MAGEB18	hsa:286514
CD276	hsa:80381
IFNL1	hsa:282618
C4orf36	hsa:132989
FIGNL1	hsa:63979
RIMS1	hsa:22999
PITPNM2	hsa:57605
PCDH10	hsa:57575
TAB3	hsa:257397
GRK7	hsa:131890
MMEL1	hsa:79258
PDE8A	hsa:5151
NLRP6	hsa:171389
AKNAD1	hsa:254268
ZCCHC5	hsa:203430
ATRIP	hsa:11277
ZIC5	hsa:85416
ANGPT1	hsa:284
TEDDM1	hsa:127670
LOC149373	hsa:149373
GABRG1	hsa:2565
PANX2	hsa:56666
ZNF114	hsa:163071
CCDC27	hsa:148870
C15orf26	hsa:161502
LOC100652931	hsa:159162
NEUROD2	hsa:4761
C5orf17	hsa:439936
LINC00208	hsa:83655
DNAH6	hsa:1768
LRRC15	hsa:131578
TTC40	hsa:54777
B3GNT7	hsa:93010
ZNF645	hsa:158506
ZMYM6	hsa:9204
SGCZ	hsa:137868
LOC100507431	hsa:100507431
WNT9B	hsa:7484
CNPY3	hsa:10695
SCAMP1	hsa:9522
LINC00471	hsa:151477
HAS3	hsa:3038
FGF4	hsa:2249
SLC30A8	hsa:169026
LOC142937	hsa:142937
LOC439933	hsa:439933
C11orf65	hsa:160140
FAM71E2	hsa:284418
OR5P2	hsa:120065
DYDC1	hsa:143241
IL27	hsa:246778
IQCF1	hsa:132141
DEFB125	hsa:245938
WFDC10B	hsa:280664
DEFB105A	hsa:245908
PKHD1	hsa:5314
PKD1L1	hsa:168507
GPR112	hsa:139378
TENM1	hsa:10178
REXO1L1P	hsa:254958
TAF1L	hsa:138474
CNTNAP5	hsa:129684
RECQL4	hsa:9401
GPR113	hsa:165082
TMC2	hsa:117532
SMCR5	hsa:140771
BICD2	hsa:23299
ZIM3	hsa:114026
NOX5	hsa:79400
DAOA-AS1	hsa:282706
GPR126	hsa:57211
KLHL4	hsa:56062
GPR156	hsa:165829
SUOX	hsa:6821
GPR115	hsa:221393
IL31RA	hsa:133396
SYTL5	hsa:94122
SDCCAG8	hsa:10806
GPR111	hsa:222611
SYN2	hsa:6854
ASB10	hsa:136371
HTR3C	hsa:170572
NFKBID	hsa:84807
CD300LF	hsa:146722
GJA10	hsa:84694
WNT9A	hsa:7483
GAL3ST2	hsa:64090
PIP4K2B	hsa:8396
ODF3	hsa:113746
WFDC13	hsa:164237
LINC00521	hsa:256369
SLFN5	hsa:162394
SERPINB12	hsa:89777
GIPC3	hsa:126326
PGLYRP3	hsa:114771
PSKH2	hsa:85481
OR6W1P	hsa:89883
MOGAT1	hsa:116255
GPR78	hsa:27201
H1FOO	hsa:132243
TAAR9	hsa:134860
GNRHR2	hsa:114814
MYOZ3	hsa:91977
BNIPL	hsa:149428
ASB11	hsa:140456
OFCC1	hsa:266553
SDR9C7	hsa:121214
OR5P3	hsa:120066
TRIM40	hsa:135644
CSN1S2AP	hsa:286828
WFDC12	hsa:128488
CRYGN	hsa:155051
STARD6	hsa:147323
C11orf40	hsa:143501
C18orf12	hsa:84322
BCL2L11	hsa:10018
DEFB119	hsa:245932
FLJ45513	hsa:255061
TIGD1	hsa:200765
ALKBH5	hsa:54890
CCDC69	hsa:26112
NFX1	hsa:4799
DSG2	hsa:1829
C5orf24	hsa:134553
KBTBD6	hsa:89890
CDK8	hsa:1024
PTK6	hsa:5753
NKD1	hsa:85407
STK38	hsa:11329
THEM4	hsa:117145
CLSPN	hsa:63967
RBAK	hsa:57786
WDR62	hsa:284403
SLC39A12	hsa:221074
RNF168	hsa:165918
SVEP1	hsa:79987
LOC652276	hsa:652276
GATA4	hsa:2626
TC2N	hsa:123036
C9orf72	hsa:203228
KCTD18	hsa:130535
KLF11	hsa:8462
ANKLE1	hsa:126549
PLXNA3	hsa:55558
PELO	hsa:53918
LACC1	hsa:144811
TAPT1-AS1	hsa:202020
C3orf30	hsa:152405
RANBP3L	hsa:202151
SNX13	hsa:23161
KDM1B	hsa:221656
ATP6V0D2	hsa:245972
LHX4	hsa:89884
CEP19	hsa:84984
DNAH11	hsa:8701
PROSER3	hsa:148137
ADPRHL1	hsa:113622
SYNRG	hsa:11276
CDH24	hsa:64403
SEPSECS	hsa:51091
GRIK5	hsa:2901
LRRN4	hsa:164312
ZNF777	hsa:27153
JPH2	hsa:57158
PDE5A	hsa:8654
SH2D1B	hsa:117157
SSTR3	hsa:6753
ADAMTS19	hsa:171019
DDX31	hsa:64794
UMODL1	hsa:89766
RASEF	hsa:158158
PARD3B	hsa:117583
DST	hsa:667
ZNF441	hsa:126068
NEGR1	hsa:257194
FCRL3	hsa:115352
DCAF4L2	hsa:138009
STOX1	hsa:219736
C20orf166-AS1	hsa:253868
ARL10	hsa:285598
RNFT2	hsa:84900
ANKFN1	hsa:162282
KRT78	hsa:196374
CCDC7	hsa:79741
ZNF41	hsa:7592
ZNF512	hsa:84450
AMMECR1	hsa:9949
FAM117B	hsa:150864
ZNF583	hsa:147949
OXER1	hsa:165140
LUZP1	hsa:7798
ZNF75D	hsa:7626
LINC00052	hsa:145978
BRWD1	hsa:54014
CCDC89	hsa:220388
ZNF572	hsa:137209
RMDN2	hsa:151393
ADAMTS18	hsa:170692
PCDHAC1	hsa:56135
HIPK4	hsa:147746
FAM124A	hsa:220108
NKAIN3	hsa:286183
ITIH5	hsa:80760
FANCB	hsa:2187
POMK	hsa:84197
ZNF709	hsa:163051
CCDC57	hsa:284001
SMC1B	hsa:27127
BRWD3	hsa:254065
ASB16	hsa:92591
MAGEE2	hsa:139599
ERVV-1	hsa:147664
GAL3ST3	hsa:89792
FLJ30679	hsa:146512
ALS2CR11	hsa:151254
UTS2R	hsa:2837
USH1G	hsa:124590
SYN1	hsa:6853
SLC23A3	hsa:151295
CNOT6L	hsa:246175
RHBDL3	hsa:162494
ZNF718	hsa:255403
DIP2B	hsa:57609
SLC36A1	hsa:206358
SNRNP48	hsa:154007
ZNF560	hsa:147741
RTTN	hsa:25914
BTNL9	hsa:153579
PUS10	hsa:150962
PLCXD2	hsa:257068
C21orf128	hsa:150147
LMLN	hsa:89782
RAD9B	hsa:144715
ZNF555	hsa:148254
NYAP1	hsa:222950
SGK494	hsa:124923
MRGPRX3	hsa:117195
ABCA13	hsa:154664
GPR128	hsa:84873
CSF3R	hsa:1441
C17orf77	hsa:146723
DUSP5P1	hsa:574029
DGKH	hsa:160851
TMEM182	hsa:130827
C16orf46	hsa:123775
LSM14B	hsa:149986
CASP8	hsa:841
PLB1	hsa:151056
C20orf197	hsa:284756
SLC5A3	hsa:6526
KIF19	hsa:124602
SLFNL1	hsa:200172
GPR82	hsa:27197
RIBC1	hsa:158787
OXGR1	hsa:27199
