abst#sce:YGR011W	12.855	8.466	17.71	20.573	5.489	19.01	13.801	4.938	10.486	3.155	5.778	27.242	0.839	6.283	17.854	11.508	27.137	37.404	9.785	15.068	56.601
abst#sce:YNL079C	462.43	209.243	1018.662	464.292	220.498	1043.043	357.842	179.539	905.244	172.108	624.416	1360.441	308.183	207.464	675.589	332.628	589.064	1001.628	292.944	213.7	811.782
abst#sce:YDR455C	53.419	24.534	83.104	61.486	23.303	75.861	37.696	21.05	64.379	17.996	59.83	109.254	21.667	18.999	72.355	42.19	59.673	85.413	40.273	21.278	99.307
abst#sce:YIL007C	15.926	9.183	34.944	19.925	7.736	34.723	11.816	7.469	22.808	9.352	23.662	46.921	12.688	10.76	41.782	15.216	48.659	67.682	21.228	18.868	95.952
abst#sce:YLR141W	42.119	18.372	30.461	46.358	11.071	38.912	28.762	14.383	28.337	12.942	32.034	44.09	12.636	10.961	39.313	28.593	31.248	42.079	30.669	16.187	44.172
abst#sce:YDR501W	180.537	137.821	291.73	252.246	123.545	346.635	194.042	129.138	310.45	76.406	257.5	564.55	71.114	159.735	491.111	266.622	729.082	632.6	241.136	221.795	991.341
abst#sce:YOL095C	43.978	26.822	47.972	46.282	17.794	43.096	20.846	12.179	16.158	5.477	20.558	44.566	3.721	14.965	42.85	22.695	64.237	58.152	24.281	22.493	77.536
abst#sce:YJR109C	221.659	108.687	152.393	211.037	71.063	142.238	97.896	39.617	193.475	35.811	153.075	302.098	55.742	90.03	248.921	128.692	262.169	250.713	126.677	88.828	224.051
abst#sce:YFL010C	176.185	124.318	66.08	265.134	91.779	262.603	155.972	112.159	194.964	58.463	79.156	310.973	65.781	98.648	351.977	180.382	416.293	159.322	170.35	94.87	445.553
abst#sce:YER083C	113.401	54.125	81.808	117.471	30.087	112.618	66.654	29.857	88.469	24.334	58.609	123.501	19.893	26.338	109.718	57.085	104.914	170.724	43.94	41.348	152.134
abst#sce:YER078C	16.925	18.932	32.717	31.058	10.254	40.909	17.678	11.396	33.54	8.779	25.523	60.276	6.38	16.842	57.061	22.441	65.008	49.336	29.44	14.666	85.406
abst#sce:YJL030W	39.804	35.77	69.66	45.759	28.437	84.768	30.138	22.392	60.999	8.978	35.683	88.195	13.239	24.853	42.237	21.114	76.363	75.898	18.209	23.134	81.442
abst#sce:YLR245C	30.296	19.434	54.743	33.756	12.155	53.535	20.014	10.827	42.897	4.932	24.312	64.01	6.946	12.649	37.458	23.273	33.486	60.039	18.783	12.87	60.212
abst#sce:YLR341W	22.648	9.439	24.956	19.385	5.792	27.44	13.112	10.662	21.875	4.994	13.495	30.109	6.376	5.111	17.248	13.935	11.06	30.552	9.243	5.586	22.455
abst#sce:YLL007C	630.437	303.386	642.772	713.505	252.238	742.367	428.177	228.583	607.933	200.515	635.29	773.017	192.185	214.662	667.162	401.846	834.744	694.881	432.895	254.396	994.865
abst#sce:YGR016W	3.591	12.795	25.276	8.876	0.005	15.985	6.605	0	14.755	0	0.525	17.207	0	0	0	1.666	0	24.536	0	2.812	17.636
abst#sce:YNL075W	51.969	29.522	73.886	77.856	22.04	95.285	46.231	14.509	92.689	25.1	68.882	81.996	17.321	8.954	19.532	24.547	16.238	31.968	7.781	8.151	68.111
abst#sce:YDR461W	99.256	63.031	73.539	96.181	56.303	70.702	55.889	34.662	35.797	16.878	43.573	90.549	11.181	40.779	53.644	55.797	85.337	93.856	36.567	44.68	121.987
abst#sce:YKL001C	40.395	30.101	64.824	37.879	30.905	72.43	30.178	30.91	63.537	18.582	63.844	76.05	10.945	22.359	55.312	33.377	57.394	79.636	13.854	16.367	58.598
abst#sce:YMR101C	593.652	206.819	569.568	501.085	196.465	613.978	404.216	188.841	543.928	233.106	469.561	749.684	213.078	207.666	526.604	346.878	531.478	638.302	361.004	211.293	539.328
abst#sce:YDR516C	24.771	20.73	73.755	27.361	20.367	63.206	54.893	23.992	100.048	69.523	116.142	306.492	78.419	81.087	303.982	176.332	280.718	362.296	195.284	108.686	419.433
abst#sce:YOL060C	472.904	390.336	1013.613	628.087	332.492	981.002	517.203	364.899	578.168	165.761	485.118	1874.877	110.549	474.257	1905.319	1041.485	2233.529	2715.496	732.136	633.697	3154.707
abst#sce:YJR151C	477.907	230.754	496.815	437.988	193.105	363.686	297.828	110.773	513.401	88.549	368.513	688.874	114.949	199.764	599.686	406.27	603.257	735.403	303.424	221.769	684.635
abst#sce:YFL005W	43.065	43.481	82.17	61.884	27.184	114.113	52.165	25.387	102.75	64.008	28.337	106.704	61.557	19.472	71.199	51.623	72.314	127.335	40.309	23.123	97.946
abst#sce:YER099C	37.061	28.133	88.691	71.412	22.439	93.612	46.735	19.789	74.482	36.696	61.601	63.859	24.573	8.761	40.732	43.339	49.901	88.851	14.893	12.031	57.859
abst#sce:YER090W	130.17	176.183	413.529	278.018	167.133	473.928	239.913	158.081	377.94	96.44	220.001	545.231	79.399	126.957	400.571	224.877	448.298	336.388	145.694	77.373	449.761
abst#sce:YJL024C	17.912	47.623	38.704	50.374	8.128	37.411	21.775	4.355	36.17	5.81	12.876	38.371	8.065	0.186	14.317	6.793	10.668	38.537	1.443	9.777	46.113
abst#sce:YER005W	353.177	126.935	289.936	311.18	123.36	317.73	279.871	123.028	278.161	80.232	175.365	392.782	103.091	93.612	315.607	257.024	274.575	425.64	281.747	151.182	341.86
abst#sce:YLR275W	65.804	55.286	100.976	75.872	41.482	107.173	50.897	35.984	88.697	24.349	153.281	90.063	14.718	32.568	64.072	41.242	121.176	103.189	32.08	41.728	96.619
abst#sce:YLR360W	117.002	85.5	253.322	151.567	78.244	269.754	110.302	65.543	193.43	40.364	84.256	289.22	27.312	58.598	242.893	124.178	279.904	361.985	99.312	89.38	432.101
abst#sce:YLL004W	261.009	120.136	278.64	279.679	106.144	271.524	174.138	75.972	208.725	69.684	223.941	266.862	59.297	66.733	196.688	123.112	204.564	243.925	128.504	94.96	273.35
abst#sce:YGR030C	66.404	41.37	145.278	90.501	44.385	152.76	62.479	31.167	109.745	25.059	58.571	149.265	19.622	29.171	121.02	48.763	135.823	167.671	58.502	46.804	203.687
abst#sce:YNL032W	129.397	91.093	151.642	115.188	70.981	223.613	94.701	95.994	117.79	55.415	152.49	187.981	38.402	62.442	159.227	92.05	175.73	229.414	84.501	78.215	196.696
abst#sce:YHR055C	506.11	228.795	674.067	628.017	204.234	808.816	465.133	181.036	493.35	207.681	401.152	687.606	246.016	112.847	621.712	290.085	382.952	630.576	218.042	104.699	405.247
abst#sce:YOL114C	29.244	19.02	38.516	35.6	11.368	41.376	20.165	16.291	36.434	10.743	37.383	63.328	14.003	19.669	49.749	23.975	43.746	47.267	17.369	12.499	39.455
abst#sce:YOL042W	436.779	173.164	444.085	388.127	157.613	441.849	337.469	149.577	370.333	197.909	340.705	542.774	173.521	154.382	347.618	277.464	331.791	428.096	269.503	149.068	363.977
abst#sce:YMR018W	12.383	11.18	15.523	14.5	7.314	12.649	18.5	6.464	11.957	6.003	12.206	13.574	6.605	4.563	15.099	11.539	18.24	25.973	13.922	8.249	25.372
abst#sce:YOR019W	18.084	13.54	28.919	28.19	12.971	29.432	28.951	17.087	30.816	20.502	41.567	73.689	16.928	25.32	171.267	56.346	141.504	277.962	135.823	128.061	423.397
abst#sce:YLR032W	238.404	156.776	356.094	351.157	123.171	266.256	163.789	61.623	254.521	33.41	288.724	410.981	37.467	101.214	347.228	151.698	299.769	359.76	158.85	103.675	410.811
